Offer                      Publisher           Sku                      Urn                                                           Version
-------------------------  ------------------  -----------------------  ------------------------------------------------------------  ------------
sles_12_pci                buddhalabs          sles12-pci               buddhalabs:sles_12_pci:sles12-pci:1.0.0                       1.0.0
cy_sles151_cpucluster2021  crunchyard          plan1                    crunchyard:cy_sles151_cpucluster2021:plan1:1.0.0              1.0.0
cy_sles151_gluster2020     crunchyard          plan1                    crunchyard:cy_sles151_gluster2020:plan1:3.0.0                 3.0.0
SQL2017-SLES12SP2          MicrosoftSQLServer  Enterprise               MicrosoftSQLServer:SQL2017-SLES12SP2:Enterprise:14.0.1000210  14.0.1000210
SQL2017-SLES12SP2          MicrosoftSQLServer  Express                  MicrosoftSQLServer:SQL2017-SLES12SP2:Express:14.0.1000210     14.0.1000210
SQL2017-SLES12SP2          MicrosoftSQLServer  SQLDEV                   MicrosoftSQLServer:SQL2017-SLES12SP2:SQLDEV:14.0.1000210      14.0.1000210
SQL2017-SLES12SP2          MicrosoftSQLServer  Standard                 MicrosoftSQLServer:SQL2017-SLES12SP2:Standard:14.0.1000210    14.0.1000210
SQL2017-SLES12SP2          MicrosoftSQLServer  Web                      MicrosoftSQLServer:SQL2017-SLES12SP2:Web:14.0.1000210         14.0.1000210
sql2019-sles12sp5          MicrosoftSQLServer  enterprise               MicrosoftSQLServer:sql2019-sles12sp5:enterprise:15.0.201110   15.0.201110
sql2019-sles12sp5          MicrosoftSQLServer  enterprise               MicrosoftSQLServer:sql2019-sles12sp5:enterprise:15.0.210112   15.0.210112
sql2019-sles12sp5          MicrosoftSQLServer  enterprise               MicrosoftSQLServer:sql2019-sles12sp5:enterprise:15.0.210209   15.0.210209
sql2019-sles12sp5          MicrosoftSQLServer  enterprise               MicrosoftSQLServer:sql2019-sles12sp5:enterprise:15.0.210218   15.0.210218
sles-12-sp5-byos           SUSE                gen2                     SUSE:sles-12-sp5-byos:gen2:2020.11.10                         2020.11.10
sles-12-sp5-byos           SUSE                gen2                     SUSE:sles-12-sp5-byos:gen2:2020.12.11                         2020.12.11
sles-12-sp5-byos           SUSE                gen2                     SUSE:sles-12-sp5-byos:gen2:2021.02.09                         2021.02.09
sles-12-sp5-hpc            SUSE                gen1                     SUSE:sles-12-sp5-hpc:gen1:2020.06.10                          2020.06.10
sles-12-sp5-hpc            SUSE                gen1                     SUSE:sles-12-sp5-hpc:gen1:2020.09.22                          2020.09.22
sles-12-sp5-hpc            SUSE                gen1                     SUSE:sles-12-sp5-hpc:gen1:2020.12.11                          2020.12.11
sles-12-sp5-hpc            SUSE                gen1                     SUSE:sles-12-sp5-hpc:gen1:2021.02.05                          2021.02.05
sles-12-sp5-hpc            SUSE                gen2                     SUSE:sles-12-sp5-hpc:gen2:2020.06.10                          2020.06.10
sles-12-sp5-hpc            SUSE                gen2                     SUSE:sles-12-sp5-hpc:gen2:2020.09.22                          2020.09.22
sles-12-sp5-hpc            SUSE                gen2                     SUSE:sles-12-sp5-hpc:gen2:2020.12.11                          2020.12.11
sles-12-sp5-hpc            SUSE                gen2                     SUSE:sles-12-sp5-hpc:gen2:2021.02.05                          2021.02.05
sles-12-sp5-hpc-byos       SUSE                gen1                     SUSE:sles-12-sp5-hpc-byos:gen1:2020.06.10                     2020.06.10
sles-12-sp5-hpc-byos       SUSE                gen1                     SUSE:sles-12-sp5-hpc-byos:gen1:2020.09.21                     2020.09.21
sles-12-sp5-hpc-byos       SUSE                gen1                     SUSE:sles-12-sp5-hpc-byos:gen1:2020.11.10                     2020.11.10
sles-12-sp5-hpc-byos       SUSE                gen1                     SUSE:sles-12-sp5-hpc-byos:gen1:2020.12.11                     2020.12.11
sles-12-sp5-hpc-byos       SUSE                gen1                     SUSE:sles-12-sp5-hpc-byos:gen1:2021.02.11                     2021.02.11
sles-12-sp5-hpc-byos       SUSE                gen2                     SUSE:sles-12-sp5-hpc-byos:gen2:2020.06.10                     2020.06.10
sles-12-sp5-hpc-byos       SUSE                gen2                     SUSE:sles-12-sp5-hpc-byos:gen2:2020.09.21                     2020.09.21
sles-12-sp5-hpc-byos       SUSE                gen2                     SUSE:sles-12-sp5-hpc-byos:gen2:2020.11.10                     2020.11.10
sles-12-sp5-hpc-byos       SUSE                gen2                     SUSE:sles-12-sp5-hpc-byos:gen2:2020.12.11                     2020.12.11
sles-12-sp5-hpc-byos       SUSE                gen2                     SUSE:sles-12-sp5-hpc-byos:gen2:2021.02.11                     2021.02.11
sles-15-sp1                SUSE                gen2                     SUSE:sles-15-sp1:gen2:2020.06.10                              2020.06.10
sles-15-sp1-basic          SUSE                gen2                     SUSE:sles-15-sp1-basic:gen2:2020.06.10                        2020.06.10
sles-15-sp1-basic          SUSE                gen2-cloud-init-preview  SUSE:sles-15-sp1-basic:gen2-cloud-init-preview:2020.04.28     2020.04.28
sles-15-sp1-byos           SUSE                gen1                     SUSE:sles-15-sp1-byos:gen1:2020.06.10                         2020.06.10
sles-15-sp1-byos           SUSE                gen1                     SUSE:sles-15-sp1-byos:gen1:2020.11.09                         2020.11.09
sles-15-sp1-byos           SUSE                gen1                     SUSE:sles-15-sp1-byos:gen1:2020.12.14                         2020.12.14
sles-15-sp1-byos           SUSE                gen1                     SUSE:sles-15-sp1-byos:gen1:2021.02.10                         2021.02.10
sles-15-sp1-byos           SUSE                gen2                     SUSE:sles-15-sp1-byos:gen2:2020.06.10                         2020.06.10
sles-15-sp1-byos           SUSE                gen2                     SUSE:sles-15-sp1-byos:gen2:2020.11.09                         2020.11.09
sles-15-sp1-byos           SUSE                gen2                     SUSE:sles-15-sp1-byos:gen2:2020.12.14                         2020.12.14
sles-15-sp1-byos           SUSE                gen2                     SUSE:sles-15-sp1-byos:gen2:2021.02.10                         2021.02.10
sles-15-sp1-chost-byos     SUSE                gen1                     SUSE:sles-15-sp1-chost-byos:gen1:2020.06.10                   2020.06.10
sles-15-sp1-chost-byos     SUSE                gen1                     SUSE:sles-15-sp1-chost-byos:gen1:2020.08.03                   2020.08.03
sles-15-sp1-chost-byos     SUSE                gen1                     SUSE:sles-15-sp1-chost-byos:gen1:2020.09.22                   2020.09.22
sles-15-sp1-chost-byos     SUSE                gen1                     SUSE:sles-15-sp1-chost-byos:gen1:2020.12.09                   2020.12.09
sles-15-sp1-chost-byos     SUSE                gen1                     SUSE:sles-15-sp1-chost-byos:gen1:2021.02.02                   2021.02.02
sles-15-sp1-chost-byos     SUSE                gen2                     SUSE:sles-15-sp1-chost-byos:gen2:2020.06.10                   2020.06.10
sles-15-sp1-chost-byos     SUSE                gen2                     SUSE:sles-15-sp1-chost-byos:gen2:2020.08.03                   2020.08.03
sles-15-sp1-chost-byos     SUSE                gen2                     SUSE:sles-15-sp1-chost-byos:gen2:2020.09.22                   2020.09.22
